area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
"сигнальные цвета, знаки безопасности и сигнальная разметка для производственной, общественной и иной хозяйственной деятельности людей, производственных, общественных объектов и иных мест, где необходимо обеспечение безопасности",Пожарная безопасность,2021-01-01,2025-08-26T02:58:26.995121+00:00,"Стандарт устанавливает назначение и правила применения сигнальных цветов, знаков безопасности и сигнальной разметки, а также общие технические требования, характеристики и методы испытаний. Применяется в целях обеспечения безопасности на производственных, общественных и прочих объектах.",ГОСТ,"ГОСТ 12.4.026-2015 Система стандартов безопасности труда (ССБТ). Цвета сигнальные, Знаки и Разметка.pdf","ГОСТ 12.4.026-2015 Система стандартов безопасности труда. Цвета сигнальные, знаки безопасности и разметка сигнальная. Назначение и правила применения. Общие технические требования и характеристики. Методы испытаний","['сигнальные цвета', 'знаки безопасности', 'сигнальная разметка', 'правила применения', 'технические характеристики', 'методы испытаний']","['сигнальные цвета', 'знаки безопасности', 'сигнальная разметка', 'безопасность труда', 'технические требования', 'методы испытаний']",русский,292,12.4.026-2015,5,92.5,7.5,"Изменение N 1, Поправки 2019, 2021","ГОСТ 12.4.026-2015 Система стандартов безопасности труда (ССБТ). Цвета сигнальные, Знаки и Разметка.pdf",Действующий,72
"Методы определения плотности, влажности, водопоглощения, пористости и водонепроницаемости бетонов",Бетоны,2021-09-01,2025-08-26T02:58:31.883961+00:00,"Настоящий межгосударственный стандарт устанавливает общие требования к методам определения плотности, влажности, водопоглощения, пористости и водонепроницаемости бетонов. Введен в действие с 1 сентября 2021 года, заменяя ГОСТ 12730.0-78.",ГОСТ,"ГОСТ 12730.0-2020_Бетоны Общие требования к методам определения плотности, влажности, водопоглощения, пористости и водонепроницаемости.pdf","ГОСТ 12730.0-2020 Бетоны Общие требования к методам определения плотности, влажности, водопоглощения, пористости и водонепроницаемости","['методы определения', 'плотность бетонов', 'влажность бетонов', 'водопоглощение', 'пористость', 'водонепроницаемость']","['бетоны', 'плотность', 'влажность', 'водопоглощение', 'пористость', 'водонепроницаемость']",Русский,290,12730.0-2020,5,65.9,23.5,,"ГОСТ 12730.0-2020_Бетоны Общие требования к методам определения плотности, влажности, водопоглощения, пористости и водонепроницаемости.pdf",Действующий,18
Методы определения плотности бетонов,Бетоны,2021-09-01,2025-08-26T02:58:36.495330+00:00,"Стандарт устанавливает методы определения плотности бетонов. Введён в действие с 1 сентября 2021 года, заменяя ГОСТ 12730.1—78. Разработан Научно-исследовательским центром «Строительство» и принят Межгосударственным советом по стандартизации, метрологии и сертификации.",ГОСТ,ГОСТ 12730.1-2020_Бетоны Методы определения плотности.pdf,ГОСТ 12730.1—2020 Бетоны Методы определения плотности,"['методы определения плотности бетонов', 'научно-исследовательский центр', 'межгосударственная стандартизация']","['бетоны', 'плотность', 'методы определения плотности', 'строительство']",русский,223,12730.1—2020,5,81.5,10.3,Введен впервые,ГОСТ 12730.1-2020_Бетоны Методы определения плотности.pdf,Действующий,18
Определение влажности бетонов,Бетоны,2021-09-01,2025-08-26T02:58:39.269809+00:00,Межгосударственный стандарт ГОСТ 12730.2-2020 устанавливает метод определения влажности бетонов. Стандарт введён в действие с 1 сентября 2021 года и заменяет ГОСТ 12730.2-78.,ГОСТ,ГОСТ 12730.2-2020_Бетоны Метод определения влажности.pdf,ГОСТ 12730.2-2020 Бетоны Метод определения влажности,"['методы определения влажности', 'бетон', 'лабораторные испытания']","['бетоны', 'влажность', 'определение влажности', 'испытания бетонов']",русский,212,12730.2-2020,5,74.4,20.0,,ГОСТ 12730.2-2020_Бетоны Метод определения влажности.pdf,Действующий,14
,Бетоны,2021-09-01,2025-08-26T02:58:42.545116+00:00,"Межгосударственный стандарт ГОСТ 12730.3-2020 устанавливает метод определения водопоглощения бетонов. Документ разработан научно-исследовательским институтом бетона и железобетона, принят Межгосударственным советом по стандартизации, метрологии и сертификации и введен в действие в Российской Федерации с 1 сентября 2021 года.",ГОСТ,ГОСТ 12730.3-2020_Бетоны Метод определения водопоглощения.pdf,ГОСТ 12730.3-2020 Бетоны Метод определения водопоглощения,"['методы испытаний бетонов', 'водопоглощение бетонов', 'стандартизация', 'строительство']","['бетоны', 'водопоглощение', 'метод определения', 'межгосударственный стандарт']",русский,210,12730.3-2020,5,75.6,7.4,Введен впервые,ГОСТ 12730.3-2020_Бетоны Метод определения водопоглощения.pdf,Действующий,14
,Бетоны,2007-01-01,2025-08-26T02:58:46.260284+00:00,"Стандарт устанавливает методы определения показателей пористости бетонов всех видов на основе измерения плотности, водопоглощения и сорбционной влажности. Включены формулы для расчета объема пор различных типов, а также методика определения кинетики водопоглощения бетона.",ГОСТ,ГОСТ 12730.4-78_Бетоны Методы определения показателей пористости.pdf,ГОСТ 12730.4-78 Бетоны. Методы определения показателей пористости,"['определение пористости', 'плотность бетона', 'водопоглощение', 'сорбционная влажность', 'микропористость', 'кинетика водопоглощения']","['бетоны', 'пористость', 'методы определения', 'плотность', 'водопоглощение', 'сорбционная влажность']",русский,332,12730.4-78,5,12.5,0.0,,ГОСТ 12730.4-78_Бетоны Методы определения показателей пористости.pdf,Действующий,7
,Бетоны,2019-09-01,2025-08-26T02:58:50.093774+00:00,"Межгосударственный стандарт ГОСТ 12730.5-2018 устанавливает методы определения водонепроницаемости бетонов. Включает три метода: по мокрому пятну, по коэффициенту фильтрации и по глубине проникания воды под давлением. Стандарт разработан на основе европейского стандарта EN 12390.8:2009.",ГОСТ,ГОСТ 12730.5-2018_Бетоны Методы определения водонепроницаемости.pdf,ГОСТ 12730.5-2018 Бетоны. Методы определения водонепроницаемости,"['методы испытания бетона', 'водонепроницаемость бетона', 'стандартизация', 'межгосударственный стандарт']","['водонепроницаемость', 'бетоны', 'методы определения', 'коэффициент фильтрации', 'глубина проникания воды', 'мокрое пятно']",русский,218,12730.5-2018,5,95.3,2.0,Введен впервые,ГОСТ 12730.5-2018_Бетоны Методы определения водонепроницаемости.pdf,Действующий,23
Изделия бетонные и железобетонные для строительства,Строительство,2018-07,2025-08-26T02:58:53.786177+00:00,"Настоящий стандарт устанавливает общие технические требования к бетонным и железобетонным изделиям для строительства, а также правила приемки, маркировки, транспортирования и хранения этих изделий.",ГОСТ,"ГОСТ 13015-2012_Изделия бетонные и жб строительства Правила приемки, маркировки, транспортирования и хранения.pdf","ГОСТ 13015—2012 Изделия бетонные и железобетонные для строительства. Общие технические требования. Правила приемки, маркировки, транспортирования и хранения","['технические требования', 'правила приемки', 'маркировка изделий', 'транспортирование', 'хранение']","['бетонные изделия', 'железобетонные изделия', 'строительство', 'технические требования', 'приемка', 'маркировка', 'транспортирование', 'хранение']",русский,185,13015—2012,5,96.3,0.0,Переиздание Июль 2018 г.,"ГОСТ 13015-2012_Изделия бетонные и жб строительства Правила приемки, маркировки, транспортирования и хранения.pdf",Не действующий,27
"Методы испытаний санитарных керамических изделий - фарфоровых, полуфарфоровых и фаянсовых, включая унитазы, умывальники, постаменты умывальников, биде, смывные бачки, писсуары, поддоны, ванны",Изделия санитарные керамические,2018-03-01,2025-08-26T02:58:58.748584+00:00,"Стандарт устанавливает методы испытаний санитарных керамических изделий, таких как фарфоровые, полуфарфоровые и фаянсовые унитазы, умывальники и другие. Определены обязательные требования к качеству продукции и перечень нормативных ссылок для проведения испытаний.",ГОСТ,ГОСТ 13449-2017 Изделия санитарные керамические. Методы испытаний.pdf,ГОСТ 13449-2017 Изделия санитарные керамические. Методы испытаний,"['методы испытаний санитарной керамики', 'качество продукции', 'нормативные ссылки']","['санитарные керамические изделия', 'методы испытаний', 'фарфор', 'полуфарфор', 'фаянс', 'унитазы', 'умывальники', 'биде', 'смывные бачки', 'писсуары', 'поддоны', 'ванны']",русский,234,13449-2017,5,95.1,0.0,,ГОСТ 13449-2017 Изделия санитарные керамические. Методы испытаний.pdf,Действующий,10
Бетонные блоки для стен подвалов и технических подпольев зданий,Строительство,2018-10-05,2025-08-26T02:59:02.803655+00:00,"Стандарт устанавливает типы, конструкции и технические требования к бетонным блокам для стен подвалов зданий, изготовленным из тяжелого и легкого силикатного бетона средней плотности не менее 1800 кг/м3. Допускается применение сплошных блоков для фундаментов. Стандарт введен в действие как национальный стандарт Российской Федерации с 1 мая 2019 года.",ГОСТ,ГОСТ 13579-2018_Блоки бетонные для стен подвалов.pdf,ГОСТ 13579-2018 Блоки бетонные для стен подвалов. Технические условия,"['технические требования', 'конструкции блоков', 'плотность бетона', 'методы испытаний']","['бетонные блоки', 'стены подвалов', 'технические условия', 'тяжелый бетон', 'легкий силикатный бетон', 'плотность', 'строительство']",Русский,211,13579-2018,5,92.4,0.0,Взамен ГОСТ 13579-78,ГОСТ 13579-2018_Блоки бетонные для стен подвалов.pdf,Действующий,16
"Сварные соединения стержневой и проволочной арматуры и соединения стержневой арматуры с листовым и фасонным прокатом при изготовлении арматурных и закладных изделий железобетонных конструкций, а также при монтаже сборных и возведении монолитных железобетонных конструкций",Арматура,2015-07-01,2025-08-26T02:59:07.280444+00:00,"Стандарт устанавливает типы, конструкции и размеры сварных соединений арматуры и закладных изделий для железобетонных конструкций, выполненных контактной и дуговой сваркой. Применяется при изготовлении и монтаже железобетонных конструкций.",ГОСТ,"ГОСТ 14098-2014_Соединения сварные арматуры и закладных изделий жб конструкций типы, конструкции и размеры.pdf","ГОСТ 14098-2014 Соединения сварные арматуры и закладных изделий железобетонных конструкций. Типы, конструкции и размеры","['сварные соединения', 'армирование', 'железобетон', 'размерные стандарты']","['соединения сварные', 'арматура', 'железобетонные конструкции', 'закладные изделия', 'типы', 'конструкции', 'размеры', 'контактная сварка', 'дуговая сварка']",русский,266,14098-2014,5,74.4,42.3,Изм. 1 (ИУС №9 2019 г.),"ГОСТ 14098-2014_Соединения сварные арматуры и закладных изделий жб конструкций типы, конструкции и размеры.pdf",Действующий,40
"Опознавательная окраска, предупреждающие знаки и маркировочные щитки трубопроводов на промышленных предприятиях внутри зданий, на наружных установках и коммуникациях (эстакадах, подземных каналах)",Промышленные трубопроводы,2001-09,2025-08-26T02:59:12.619678+00:00,"Данный стандарт устанавливает требования к опознавательной окраске, предупреждающим знакам и маркировочным щиткам трубопроводов промышленных предприятий. Он направлен на быстрое определение содержимого трубопроводов, облегчение управления производственными процессами и обеспечение безопасности труда. В стандарте описываются группы веществ, требования к окраске, методы нанесения и особенности маркировки.",ГОСТ,"ГОСТ 14202-69_Трубопроводы промышленных предприятий Опознавательная окраска, предупреждающие знаки и маркировочные щитки.pdf","ГОСТ 14202-69 Трубопроводы промышленных предприятий. Опознавательная окраска, предупреждающие знаки и маркировочные щитки","['группы веществ по трубопроводам', 'цвета опознавательной окраски', 'маркировка трубопроводов', 'безопасность промышленного производства']","['трубопроводы', 'опознавательная окраска', 'предупреждающие знаки', 'маркировочные щитки', 'промышленные предприятия', 'безопасность труда', 'управление производственными процессами']",русский,27,14202-69,5,77.9,0.0,,"ГОСТ 14202-69_Трубопроводы промышленных предприятий Опознавательная окраска, предупреждающие знаки и маркировочные щитки.pdf",Действующий,17
Требования безопасности и устойчивости технических изделий к проникновению твердых предметов и воды при эксплуатации,Пожарная безопасность,2023-07-01,2025-08-26T02:59:17.058351+00:00,"Межгосударственный стандарт ГОСТ 14254-2015 устанавливает степени защиты, обеспечиваемые оболочками (Код IP), с учетом модификаций международного стандарта IEC 60529:2013. Стандарт применяется с 1 марта 2017 года и содержит поправки, опубликованные в 2023 году. Он определяет требования безопасности, связанные с устойчивостью технических изделий к проникновению твердых предметов и воды при эксплуатации.",ГОСТ,"ГОСТ 14254-2015 Степени защиты, обеспечиваемые оболочками (Код IP) (с изм. на 01.07.23).pdf","ГОСТ 14254-2015 (IEC 60529:2013) Степени защиты, обеспечиваемые оболочками (Код IP) (с Поправками)","['степени защиты оболочек', 'устойчивость к проникновению твердых предметов и воды', 'модификация международного стандарта IEC 60529:2013']","['Код IP', 'степени защиты', 'оболочки', 'устойчивость к проникновению', 'твердые предметы', 'вода', 'безопасность']",русский,528,14254-2015,5,87.7,0.0,Поправка (ИУС 7-2023),"ГОСТ 14254-2015 Степени защиты, обеспечиваемые оболочками (Код IP) (с изм. на 01.07.23).pdf",Действующий,44
"Комплектные распределительные негерметизированные устройства (КРУ) в металлической оболочке, трехфазного переменного тока частотой 50 и 60 Гц на номинальное напряжение до 10 кВ для сетей с изолированной или заземленной через дугогасительный реактор нейтралью",Электротехническое оборудование,2003-01-01,2025-08-26T02:59:22.181673+00:00,"Стандарт устанавливает общие технические условия и параметры на комплектные распределительные негерметизированные устройства (КРУ) в металлической оболочке для напряжения до 10 кВ, предназначенные для нужд народного хозяйства и экспорта. Включает требования, параметры, области применения и исключения из применения, а также устанавливает обязательные требования.",ГОСТ,ГОСТ 14693-90_Устройства комплектные распределительные негерметизированные в металлической оболочке на напряжение до 10 кв.pdf,ГОСТ 14693-90 Устройства Комплектные Распределительные Негерметизированные В Металлической Оболочке На Напряжение До 10 Кв Общие Технические Условия,"['технические условия', 'токовые параметры', 'электротехническая безопасность', 'испытания']","['комплектные распределительные устройства', 'негерметизированные устройства', 'металлическая оболочка', 'напряжение до 10 кВ', 'технические условия']",русский,191,14693-90,5,95.2,1.2,,ГОСТ 14693-90_Устройства комплектные распределительные негерметизированные в металлической оболочке на напряжение до 10 кв.pdf,Действующий,27
"Основные типы, конструктивные элементы и размеры сварных соединений из сталей, а также сплавов на железоникелевой и никелевой основах, выполняемых дуговой сваркой в защитном газе",Сварка,2007-12-01,2025-08-26T02:59:28.311202+00:00,"Стандарт устанавливает основные типы, конструктивные элементы и размеры сварных соединений, выполненных дуговой сваркой в защитном газе, применяемых для сталей и специализированных сплавов. Документ содержит обозначения способов сварки и требования к основным типам соединений.",ГОСТ,"ГОСТ 14771-76_Дуговая сварка в защитном газе Соединения сварные Основные типы, конструктивные элементы и размеры.pdf","ГОСТ 14771-76 Дуговая сварка в защитном газе. Соединения сварные. Основные типы, конструктивные элементы и размеры","['типы сварных соединений', 'конструктивные элементы сварных соединений', 'размеры сварных соединений', 'методы дуговой сварки в защитном газе']","['дуговая сварка', 'защитный газ', 'сварные соединения', 'типовые конструктивные элементы', 'размеры сварных соединений', 'сталевые соединения', 'сплавы железоникелевой и никелевой основы']",русский,95,14771-76,5,12.2,0.0,"Изменения №1, 2, 3","ГОСТ 14771-76_Дуговая сварка в защитном газе Соединения сварные Основные типы, конструктивные элементы и размеры.pdf",Действующий,39
