area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
"Эксплуатационные требования к зданиям и сооружениям в условиях нормальной эксплуатации, за исключением особо опасных, технически сложных и линейных объектов, а также демонтажа и утилизации зданий (сооружений).",Здания и сооружения,2023-06-20,2025-08-26T04:11:08.063230+00:00,"Свод правил регулирует общие эксплуатационные требования к зданиям и сооружениям при нормальной эксплуатации, исключая особо опасные, технически сложные и линейные объекты, а также вопросы демонтажа и утилизации. Документ обновлен изменениями, утвержденными в 2019 и 2023 годах.",Свод правил,СП 255.1325800.2016 Здания и сооружения. Правила эксплуатации. Основные положения (с Изменениями N 1-3).pdf,СП 255.1325800.2016 Здания и сооружения. Правила эксплуатации. Основные положения,"['эксплуатационные требования', 'нормативные документы', 'изменения']","['здания', 'сооружения', 'эксплуатация', 'правила эксплуатации', 'нормальная эксплуатация', 'изменения']",русский,375,255.1325800.2016,5,94.1,0.0,Изм. 1-3,СП 255.1325800.2016 Здания и сооружения. Правила эксплуатации. Основные положения (с Изменениями N 1-3).pdf,Действующий,43
Жилые и общественные здания,Электроустановки,2017-03-02,2025-08-26T04:11:12.462295+00:00,"Настоящий свод правил устанавливает правила проектирования и монтажа электроустановок в жилых и общественных зданиях. Документ охватывает нормы освещения, электроснабжения, расчет электрических нагрузок, схемы электрических сетей и распределение силовых сетей.",Свод правил,"СП 256.1325800.2016_Электроустановки жилых и общественных зданий (с изменениями 1,  2,  3,  4,  5,  6,  7,  8).pdf",Свод правил СП 256.1325800.2016 Электроустановки жилых и общественных зданий. Правила проектирования и монтажа,"['правила проектирования', 'монтаж электроустановок', 'искусственное освещение', 'электроснабжение', 'расчет электрических нагрузок', 'схемы электрических сетей', 'силовые распределительные сети']","['электроустановки', 'жилые здания', 'общественные здания', 'проектирование', 'монтаж', 'искусственное освещение', 'электроснабжение', 'нагрузки', 'электрические сети', 'распределительные сети']",русский,316,256.1325800.2016,5,90.6,25.9,Введен впервые,"СП 256.1325800.2016_Электроустановки жилых и общественных зданий (с изменениями 1,  2,  3,  4,  5,  6,  7,  8).pdf",Действующий,84
Проектирование мостов в условиях плотной городской застройки,Проектирование мостов,2023-03-03,2025-08-26T04:11:16.053898+00:00,Данный свод правил подготовлен для повышения уровня безопасности людей в зданиях и сооружениях и сохранности материальных ценностей с учетом особенностей проектирования мостовых сооружений в условиях плотной городской застройки. Обеспечивает соблюдение требований технических регламентов о безопасности зданий и сооружений и пожарной безопасности.,Свод правил,"СП 259.1325800.2016_Мосты в условиях плотной городской застройки. Правила проектирования (с изменениями 1, 2).pdf",Свод правил МОСТЫ В условиях плотной городской застройки. Правила проектирования,"['проектирование мостов', 'технические регламенты безопасности', 'учет городской застройки']","['мосты', 'плотная городская застройка', 'правила проектирования', 'безопасность', 'технический регламент', 'пожарная безопасность', 'строительство']",Русский,228,259.1325800.2016,5,94.4,0.0,Изменения N 2 утв. Приказом Минстроя России от 03.03.2023 N 147/пр,"СП 259.1325800.2016_Мосты в условиях плотной городской застройки. Правила проектирования (с изменениями 1, 2).pdf",Действующий,27
Проектирование стальных тонкостенных конструкций из холодногнутых оцинкованных профилей и гофрированных листов,Конструкции,2023-12-28,2025-08-26T04:11:20.829536+00:00,"Приказ Министерства строительства и жилищно-коммунального хозяйства Российской Федерации от 28 декабря 2023 г. N 1015/пр утверждает и вводит в действие СП 260.1325800.2023, который устанавливает правила проектирования стальных тонкостенных конструкций из холодногнутых оцинкованных профилей и гофрированных листов. Документ заменяет СП 260.1325800.2016 и регламентирует процедуру публикации и регистрации свода правил.",Свод правил,СП 260.1325800.2023_Конструкции стальные тонкостенные из холодногнутых оцинкованных профилей и гофрированных листов..pdf,СП 260.1325800.2023 Конструкции стальные тонкостенные из холодногнутых оцинкованных профилей и гофрированных листов. Правила проектирования,"['Правила проектирования', 'Стальные конструкции', 'Холодногнутые профили', 'Гофрированные листы']","['СП 260.1325800.2023', 'Конструкции стальные тонкостенные', 'холодногнутые оцинкованные профили', 'гофрированные листы', 'Правила проектирования']",Русский,899,260.1325800.2023,2,33.3,0.0,Введен впервые,СП 260.1325800.2023_Конструкции стальные тонкостенные из холодногнутых оцинкованных профилей и гофрированных листов..pdf,Действующий,2
Правила проектирования конструкций из сталежелезобетона,Конструкции сталежелезобетонные,2023-06-27,2025-08-26T04:11:24.062367+00:00,"Данный свод правил устанавливает нормы и требования по проектированию конструкций из сталежелезобетона. Документ подготовлен научно-исследовательскими институтами и утвержден Минстроем России. Включает изменения, утвержденные в 2018, 2020 и 2023 годах.",Свод правил,"СП 266.1325800.2016_Конструкции сталежелезобетонные. Правила проектирования (с изменениями 1, 2, 3, 4).pdf",Свод правил Конструкции сталежелезобетонные Правила проектирования,"['проектирование конструкций', 'сталежелезобетон', 'строительные нормы', 'техническое регулирование']","['сталежелезобетонные конструкции', 'проектирование', 'строительство', 'нормы и требования']",русский,282,266.1325800.2016,5,83.7,2.3,Изм.3,"СП 266.1325800.2016_Конструкции сталежелезобетонные. Правила проектирования (с изменениями 1, 2, 3, 4).pdf",Действующий,184
Проектирование высотных зданий и комплексов,Архитектура,2020-12-30,2025-08-26T04:11:27.750572+00:00,"Данный свод правил устанавливает требования к проектированию высотных зданий и комплексов с учетом соответствующих СП, включая требования безопасности, энергосбережения и пожарной безопасности. Документ разработан и утвержден Министерством строительства и жилищно-коммунального хозяйства Российской Федерации.",Свод правил,"СП 267.1325800.2016_Здания и комплексы высотные. Правила проектирования (с изменением 1, 2).pdf",Свод правил Здания и комплексы высотные Правила проектирования,"['требования к проектированию', 'технические регламенты', 'энергетическая эффективность', 'пожарная безопасность']","['высотные здания', 'комплексы', 'проектирование', 'безопасность зданий', 'энергосбережение', 'пожарная безопасность']",русский,256,267.1325800.2016,5,93.7,1.6,"Изменения N 1, утв. Приказом Минстроя России от 30.12.2020 N 918/пр","СП 267.1325800.2016_Здания и комплексы высотные. Правила проектирования (с изменением 1, 2).pdf",Действующий,176
Проектирование транспортных сооружений в сейсмических районах,Транспортные сооружения,2017-06-17,2025-08-26T04:11:32.084315+00:00,"Свод правил устанавливает требования и правила проектирования транспортных сооружений, расположенных в сейсмических районах, включая трассирование дорог, земляное полотно, конструкции мостов и тоннелей, с учетом сейсмостойкости.",Свод правил,СП 268.1325800.2016_Транспортные сооружения в сейсмических районах. Правила проектирования.pdf,Свод правил СП 268.1325800.2016 Транспортные сооружения в сейсмических районах. Правила проектирования,"['трассирование дорог', 'земляное полотно', 'верхнее строение пути', 'конструкция мостов', 'расчеты на сейсмостойкость', 'транспортные тоннели', 'метрополитены']","['транспортные сооружения', 'сейсмические районы', 'проектирование', 'сейсмостойкость', 'мосты', 'тоннели']",Русский,308,268.1325800.2016,5,92.3,33.7,Введен впервые,СП 268.1325800.2016_Транспортные сооружения в сейсмических районах. Правила проектирования.pdf,Действующий,57
"Оценка состояния и повреждений дорог в сейсмических районах, особенно в удаленных и труднодоступных местах; порядок движения и ремонтно-восстановительные работы после землетрясений",Транспортные сооружения,2017-06-17,2025-08-26T04:11:37.993420+00:00,"Свод правил предназначен для оценки повреждений транспортных сооружений, в частности дорог, после разрушительных землетрясений в отдаленных и труднодоступных районах. Устанавливает правила оперативной оценки, изменения порядка движения и организации восстановительных работ на территориях, пострадавших от землетрясений.",Свод правил,СП 270.1325800.2016_Транспортные сооружения в сейсмических районах. Правила оценки повреждений дорог при землетрясениях.pdf,СП 270.1325800.2016 Транспортные сооружения в сейсмических районах. Правила оценки повреждений дорог при землетрясениях в отдаленных и труднодоступных районах,"['оценка повреждений', 'сейсмоопасность', 'транспортные дороги', 'эксплуатация дорог', 'безопасность']","['свод правил', 'транспортные сооружения', 'землетрясения', 'сейсмические районы', 'оценка повреждений', 'ремонтно-восстановительные работы', 'дорожное движение']",русский,270,270.1325800.2016,5,95.0,0.0,Введен впервые,СП 270.1325800.2016_Транспортные сооружения в сейсмических районах. Правила оценки повреждений дорог при землетрясениях.pdf,Действующий,20
"Проектирование систем шумоглушения воздушного отопления, вентиляции и кондиционирования воздуха",Вентиляция,2017-06-17,2025-08-26T04:11:42.774407+00:00,"Настоящий свод правил устанавливает требования и правила проектирования систем шумоглушения в воздушных системах отопления, вентиляции и кондиционирования воздуха. Документ утвержден Министерством строительства и жилищно-коммунального хозяйства Российской Федерации и введен в действие с 17 июня 2017 года.",Свод правил,"СП 271.1325800.2016_Системы шумоглушения воздушного отопления, вентиляции и кондиционирования воздуха.pdf","Свод правил 271.1325800.2016 Системы шумоглушения воздушного отопления, вентиляции и кондиционирования воздуха. Правила проектирования","['проектирование систем шумоглушения', 'воздушное отопление', 'вентиляция', 'кондиционирование']","['системы шумоглушения', 'воздушное отопление', 'вентиляция', 'кондиционирование воздуха', 'правила проектирования']",Русский,191,271.1325800.2016,5,94.8,35.4,Введен впервые,"СП 271.1325800.2016_Системы шумоглушения воздушного отопления, вентиляции и кондиционирования воздуха.pdf",Действующий,65
"Устанавливает требования к проведению обследований при оценке состояния сетей водоотведения и распространяется на перекладку, восстановление или ремонт трубопроводов систем водоотведения",Системы водоотведения,2020-12-23,2025-08-26T04:11:47.357576+00:00,Настоящий свод правил разработан для обеспечения единого подхода к классификации повреждений и унификации отчетности по результатам обследования систем городских и поселковых систем водоотведения. Документ регламентирует требования к обследованию и оценке состояния систем водоотведения для обеспечения безопасности жизнедеятельности человека.,Свод правил,СП 272.1325800.2016_Системы водоотведения городские и поселковые. Правила обследования (с изменением 1).pdf,Свод правил Системы водоотведения городские и поселковые. Правила обследования,"['требования к обследованию', 'оценка состояния систем водоотведения', 'классификация повреждений', 'отчетность обследования']","['свод правил', 'системы водоотведения', 'города', 'поселки', 'правила обследования', 'трубопроводы', 'оценка состояния', 'ремонт', 'перекладка', 'восстановление']",Русский,332,272.1325800.2016,5,74.2,1.3,Изменение N 1,СП 272.1325800.2016_Системы водоотведения городские и поселковые. Правила обследования (с изменением 1).pdf,Действующий,142
Проектирование и производство работ при восстановлении трубопроводов самотечных систем водоснабжения и водоотведения городов и населенных пунктов гибкими полимерными рукавами диаметром 50 - 2600 мм,Водоснабжение и водоотведение,2017-06-04,2025-08-26T04:11:51.690040+00:00,Свод правил содержит требования к проектированию и расчету систем трубопроводов систем водоотведения при их восстановлении гибкими полимерными рукавами. Документ направлен на обеспечение соблюдения обязательных требований к наружным системам водоснабжения и канализации в соответствии с СП 32.13330.2012.,Свод правил,СП 273.1325800.2016_Водоснабжение и водоотведение. Восстановление трубопроводов гибкими полимерными рукавами (с изменением 1).pdf,СП 273.1325800.2016 Свод правил. Водоснабжение и водоотведение. Правила проектирования и производства работ при восстановлении трубопроводов гибкими полимерными рукавами,"['трубопроводы', 'восстановление', 'проектирование', 'гибкие полимерные рукава']","['водоснабжение', 'водоотведение', 'проектирование', 'восстановление трубопроводов', 'гибкие полимерные рукава', 'канализационные сети', 'трубопроводы']",Русский,363,273.1325800.2016,5,90.3,1.2,Введен впервые,СП 273.1325800.2016_Водоснабжение и водоотведение. Восстановление трубопроводов гибкими полимерными рукавами (с изменением 1).pdf,Действующий,69
"Контроль технического состояния новых и реконструируемых постоянных мостовых сооружений и труб под насыпями на автомобильных и железных дорогах, улицах и дорогах населенных пунктов, линиях метро и трамвая, а также пешеходных дорогах",Мониторинг технического состояния мостов,2022-12-19,2025-08-26T04:11:55.841606+00:00,"Свод правил устанавливает требования по мониторингу технического состояния мостов и труб на различных маршрутах движения, включая автомобильные дороги, железные дороги, метрополитен, трамваи и пешеходные дорожки. Документ направлен на повышение безопасности сооружений в соответствии с федеральными законами и гармонизацию с международными нормативами.",Свод правил,СП 274.1325800.2016 Мосты. Мониторинг технического состояния (с изменением 1).pdf,Свод правил. Мосты. Мониторинг технического состояния,"['мониторинг состояния', 'безопасность сооружений', 'техническое состояние мостов', 'эксплуатационные характеристики', 'оценка состояния']","['свод правил', 'мосты', 'мониторинг технического состояния', 'требования безопасности', 'пожарная безопасность', 'строительство', 'реконструкция мостов']",Русский,386,274.1325800.2016,5,84.1,0.7,Изменение N 1,СП 274.1325800.2016 Мосты. Мониторинг технического состояния (с изменением 1).pdf,Действующий,59
