area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
Здания и сооружения,Системы электросвязи,2023-01-24,2025-08-26T03:35:46.663401+00:00,"Документ устанавливает основные положения проектирования систем электросвязи зданий и сооружений. Включает требования к кабельной продукции, монтажу и контролю качества систем электросвязи с фокусом на измерение электрических параметров и приемочных испытаний.",Свод правил,ПП Москвы 399 от 15.03.2023 ПП ИД Слаботочные системы Электроизмерения Нормативные требования.pdf,СП 134.13330.2022 Системы электросвязи зданий и сооружений. Основные положения проектирования,"['требования к кабельной продукции', 'монтаж и контроль прокладки кабелей', 'приемо-сдаточные испытания кабельных систем', 'исполнительная документация', 'контроль качества кабелей']","['системы электросвязи', 'кабельная продукция', 'монтаж кабелей', 'испытания кабелей', 'измерение сопротивления изоляции', 'приемо-сдаточные испытания', 'исполнительная документация']",Русский,144,134.13330.2022,3,91.7,0.0,Введен впервые,ПП Москвы 399 от 15.03.2023 ПП ИД Слаботочные системы Электроизмерения Нормативные требования.pdf,Действующий,3
"Ведение и использование исполнительной документации при строительстве, реконструкции и капитальном ремонте объектов капитального строительства, а также при сохранении объектов культурного наследия за счет бюджета города Москвы",Строительство,2023-03-15,2025-08-26T03:35:51.356266+00:00,"Документ устанавливает особенности ведения и использования исполнительной документации при строительстве, реконструкции, капитальном ремонте объектов капитального строительства, включая работы по сохранению объектов культурного наследия, финансируемых из бюджета города Москвы.",Постановление Правительства Москвы,ПП Москвы 399-ПП от 15.03.2023 Об особенностях ведения и использования ИД при строительстве объектов за счет госбюджета.pdf,"Постановление Правительства Москвы от 15 марта 2023 года N 399-ПП Об особенностях ведения и использования исполнительной документации при строительстве, реконструкции, капитальном ремонте объектов капитального строительства, проведении работ по сохранению объектов культурного наследия за счет средств бюджета города Москвы","['требования к исполнительной документации', 'строительство', 'реконструкция', 'капитальный ремонт', 'сохранение культурного наследия', 'финансирование из бюджета']","['исполнительная документация', 'строительство', 'реконструкция', 'капитальный ремонт', 'объекты капитального строительства', 'сохранение объектов культурного наследия', 'бюджет города Москвы']",Русский,75,399-ПП,5,98.5,0.0,,ПП Москвы 399-ПП от 15.03.2023 Об особенностях ведения и использования ИД при строительстве объектов за счет госбюджета.pdf,Действующий,39
Органы исполнительной власти города Москвы и подведомственные им государственные учреждения,Информационные технологии,2013-07-25,2025-08-26T03:35:57.231593+00:00,Распоряжение утверждает Методические рекомендации по построению локальных вычислительных сетей и структурированных кабельных систем для органов исполнительной власти города Москвы и подведомственных им государственных учреждений. Цель документа – обеспечение доступа к автоматизированным информационным системам и ресурсам города Москвы с применением единых требований и стандартов.,Распоряжение,ПП Москвы 64-16-283-13 Методическими рекомендациями по построению ЛВС и СКС в целях обеспечения доступа к АИС и ресурсам города Москвы.pdf,Распоряжение Департамента информационных технологий города Москвы от 25 июля 2013 года N 64-16-283/13 Об утверждении Методических рекомендаций по построению локальных вычислительных сетей и структурированных кабельных систем органов исполнительной власти города Москвы и подведомственных им государственных учреждений в целях обеспечения доступа к автоматизированным информационным системами и ресурсам города Москвы,"['локальные вычислительные сети', 'структурированные кабельные системы', 'автоматизированные информационные системы', 'информационные технологии', 'стандартизация']","['локальные вычислительные сети', 'структурированные кабельные системы', 'методические рекомендации', 'органы исполнительной власти Москвы', 'государственные учреждения', 'доступ к информационным системам']",русский,426,64-16-283/13,5,86.7,0.0,,ПП Москвы 64-16-283-13 Методическими рекомендациями по построению ЛВС и СКС в целях обеспечения доступа к АИС и ресурсам города Москвы.pdf,Действующий,33
Создание информационно-коммуникационной инфраструктуры в медицинских организациях государственной системы здравоохранения города Москвы при проведении строительных работ на объектах Департамента здравоохранения города Москвы,Информационные технологии,2017-10-30,2025-08-26T03:36:01.934279+00:00,Документ утверждает регламент взаимодействия между Департаментом здравоохранения города Москвы и Департаментом информационных технологий города Москвы по созданию информационно-коммуникационной инфраструктуры в медицинских организациях при проведении строительных работ. Регламент направлен на обеспечение внедрения и использования автоматизированной информационной системы города Москвы Единой медицинской информационно-аналитической системы города Москвы (ЕМИАС).,Распоряжение,"ПП Москвы 64-16-606-17-1358-Р от 30.10.2017 Технические требования ИКИ ЕМИАС ДЗМ, ДИТ.pdf",Распоряжение от 30 октября 2017 года N 64-16-606/17/1358-Р Об утверждении Регламента взаимодействия по созданию информационно-коммуникационной инфраструктуры в рамках проведения строительных работ на объектах Департамента здравоохранения города Москвы,"['создание инфраструктуры', 'внедрение автоматизированных систем', 'медицинские организации', 'строительство и ремонт']","['регламент взаимодействия', 'информационно-коммуникационная инфраструктура', 'строительные работы', 'Департамент здравоохранения города Москвы', 'Департамент информационных технологий города Москвы', 'ЕМИАС']",русский,437,64-16-606/17/1358-Р,5,86.3,0.0,,"ПП Москвы 64-16-606-17-1358-Р от 30.10.2017 Технические требования ИКИ ЕМИАС ДЗМ, ДИТ.pdf",Действующий,20
Приемка объектов инженерного и коммунального назначения в собственность города Москвы,Инженерные сети и сооружения,2018-07-24,2025-08-26T03:36:12.850702+00:00,"Данный документ регламентирует порядок приемки объектов инженерного и коммунального назначения в собственность города Москвы, устанавливая условия и процедуры передачи прав собственности на вновь построенные, реконструируемые и действующие инженерные сети и сооружения. Документ включает изменения и дополнения, внесённые до 24 июля 2018 года.",Постановление Правительства Москвы,ПП Москвы 660 от 22.08.2000 О порядке приемки объектов инженерного и коммунального назначения в собственность города Москвы.pdf,Постановление Правительства Москвы от 22 августа 2000 года N 660 О порядке приемки объектов инженерного и коммунального назначения в собственность города Москвы с изменениями на 24 июля 2018 года,"['передача собственности', 'инвестиционные договоры', 'временная эксплуатация', 'регистрация собственности']","['приемка объектов', 'инженерные сети', 'коммунальное назначение', 'собственность города Москвы', 'инвестиционные контракты', 'реконструкция']",русский,535,660,5,95.9,0.0,с изменениями на 24 июля 2018 года,ПП Москвы 660 от 22.08.2000 О порядке приемки объектов инженерного и коммунального назначения в собственность города Москвы.pdf,Действующий,14
"Объекты и территории Министерства просвещения Российской Федерации и другие организации, осуществляющие образовательную деятельность в сфере общего и среднего профессионального образования",Пожарная безопасность,2022-03-05,2025-08-26T03:36:19.048837+00:00,"Постановление устанавливает обязательные организационные, инженерно-технические, правовые и иные требования для обеспечения антитеррористической защищенности объектов и территорий Министерства просвещения Российской Федерации и подведомственных образовательных организаций. Документ содержит форму паспорта безопасности для указанных объектов и территорий. Включены изменения, внесённые 5 марта 2022 года.",Постановление Правительства РФ,ПП РФ 1006 Об утверждении требований к антитеррористической защищенности объектов (территорий) Министерства просвещения РФ.pdf,"Постановление Правительства Российской Федерации от 2 августа 2019 года N 1006 Об утверждении требований к антитеррористической защищенности объектов (территорий) Министерства просвещения Российской Федерации и объектов (территорий), относящихся к сфере деятельности Министерства просвещения Российской Федерации, и формы паспорта безопасности этих объектов (территорий) (с изменениями на 5 марта 2022 года)","['антитеррористическая защищенность объектов', 'организационные и технические меры защиты', 'образовательные учреждения', 'правовое регулирование']","['антитеррористическая защищенность', 'требования', 'объекты Министерства просвещения', 'территории', 'паспорт безопасности', 'организационные мероприятия', 'инженерно-технические мероприятия', 'образовательные организации']",русский,3763,1006,5,0.0,0.0,с изменениями на 5 марта 2022 года,ПП РФ 1006 Об утверждении требований к антитеррористической защищенности объектов (территорий) Министерства просвещения РФ.pdf,Действующий,19
Антитеррористическая защищенность объектов (территорий) Министерства просвещения Российской Федерации и подведомственных организаций,Пожарная безопасность,2022-03-05,2025-08-26T03:36:24.279275+00:00,"Документ утверждает обязательные требования и мероприятия по обеспечению антитеррористической защищенности объектов и территорий Министерства просвещения Российской Федерации и организаций, относящихся к его сфере деятельности. Включает форму паспорта безопасности этих объектов и территорий. Содержит положения об организации, инженерно-технических и правовых мерах защиты.",Постановление Правительства РФ,ПП РФ 1006 от 02.08.2019 Об утверждении требований к антитеррористической защищенности объектов (территорий) Минпросвещения РФ.pdf,"Постановление Правительства Российской Федерации от 2 августа 2019 года N 1006 Об утверждении требований к антитеррористической защищенности объектов (территорий) Министерства просвещения Российской Федерации и объектов (территорий), относящихся к сфере деятельности Министерства просвещения Российской Федерации, и формы паспорта безопасности этих объектов (территорий) (с изменениями на 5 марта 2022 года)",,,русский,3763,1006,5,0.0,0.0,с изменениями на 5 марта 2022 года,ПП РФ 1006 от 02.08.2019 Об утверждении требований к антитеррористической защищенности объектов (территорий) Минпросвещения РФ.pdf,Действующий,19
Подключение объектов капитального строительства к сетям электросвязи,Сети электросвязи,2024-05-16,2025-08-26T03:36:28.811298+00:00,"Документ регулирует правила подключения (технологического присоединения) объектов капитального строительства к сетям электросвязи. В нем определены порядок, основные понятия и условия подключения, а также ответственность сторон. Правила применяются к проектируемым, строящимся, реконструируемым и построенным объектам капитального строительства.",Постановление Правительства РФ,ПП РФ 1196 от 01.07.2022 Правила подключения объектов капитального строительства к сетям электросвязи (изм. на 16.05.2024).pdf,Постановление Правительства Российской Федерации от 1 июля 2022 года N 1196 Об утверждении Правил подключения (технологического присоединения) объектов капитального строительства к сетям электросвязи (с изменениями на 16 мая 2024 года),"['технологическое присоединение', 'строительство', 'реконструкция', 'операторы связи', 'договор о подключении']","['подключение', 'технологическое присоединение', 'объекты капитального строительства', 'сети электросвязи', 'правила']",Русский,3963,1196,5,8.3,0.0,с изменениями на 16 мая 2024 года,ПП РФ 1196 от 01.07.2022 Правила подключения объектов капитального строительства к сетям электросвязи (изм. на 16.05.2024).pdf,Действующий,11
Объекты и территории Федеральной службы по надзору в сфере образования и науки и подведомственных ей организаций,Пожарная безопасность,2019-09-24,2025-08-26T03:36:35.354735+00:00,"Постановление утверждает требования к антитеррористической защищенности объектов и территорий, находящихся в ведении Федеральной службы по надзору в сфере образования и науки и подведомственных ей организаций, а также форму паспорта безопасности этих объектов. Документ устанавливает организационные, инженерно-технические и иные мероприятия по обеспечению безопасности, порядок категорирования объектов в зависимости от степени угрозы терроризма, а также распределение ответственности за обеспечение антитеррористической защищенности.",Постановление Правительства РФ,ПП РФ 1243 от 24.09.2019 Об утверждении требований к антитеррористической защищенности объектов образования и науки.pdf,"Постановление Правительства Российской Федерации от 24 сентября 2019 года N 1243 Об утверждении требований к антитеррористической защищенности объектов (территорий) Федеральной службы по надзору в сфере образования и науки и подведомственных ей организаций, а также формы паспорта безопасности этих объектов (территорий)","['антитеррористическая защищенность', 'организационные мероприятия', 'инженерно-технические меры', 'категорирование объектов', 'ответственность']","['антитеррористическая защищенность', 'объекты', 'территории', 'Федеральная служба по надзору в сфере образования и науки', 'паспорта безопасности', 'категорирование объектов']",Русский,3502,1243,5,0.0,0.0,,ПП РФ 1243 от 24.09.2019 Об утверждении требований к антитеррористической защищенности объектов образования и науки.pdf,Действующий,14
Объекты (территории) Министерства науки и высшего образования Российской Федерации и подведомственных ему организаций,Антитеррористическая защищенность,2023-04-04,2025-08-26T03:36:40.921341+00:00,"Постановление утверждает требования к антитеррористической защищенности объектов (территорий) Министерства науки и высшего образования Российской Федерации и подведомственных ему организаций, форму паспорта безопасности этих объектов, а также признает утратившими силу некоторые прежние акты Правительства РФ. В документе отражены изменения, внесённые по состоянию на 4 апреля 2023 года.",Постановление Правительства РФ,ПП РФ 1421 от 07.11.2019 Об утверждении требований к антитеррористической защищенности объектов (территорий) Минобр РФ.pdf,"Постановление Правительства Российской Федерации от 7 ноября 2019 года N 1421 об утверждении требований к антитеррористической защищенности объектов (территорий) Министерства науки и высшего образования Российской Федерации и подведомственных ему организаций, объектов (территорий), относящихся к сфере деятельности Министерства науки и высшего образования Российской Федерации, формы паспорта безопасности этих объектов (территорий) и признании утратившими силу некоторых актов Правительства Российской Федерации с изменениями на 4 апреля 2023 года","['требования к антитеррористической защищенности', 'форма паспорта безопасности', 'категорирование объектов']","['антитеррористическая защищенность', 'Министерство науки и высшего образования Российской Федерации', 'паспорта безопасности', 'объекты (территории)', 'категорирование объектов']",русский,3841,1421,5,4.2,0.0,Изм. на 4 апреля 2023 года,ПП РФ 1421 от 07.11.2019 Об утверждении требований к антитеррористической защищенности объектов (территорий) Минобр РФ.pdf,Действующий,23
