area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
Токопроводы переменного и постоянного тока с напряжением до 35 кВ на промышленных предприятиях и в электроустановках,Электроснабжение,,2025-08-29T03:20:03.983105+00:00,"Данный документ устанавливает требования и общие положения к токопроводам переменного и постоянного тока напряжением до 35 кВ, включая классификацию токопроводов, требования к их конструкции, выбору материалов, условиям эксплуатации и техническому обслуживанию.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 2.2. Токопроводы напряжением до 35 кВ.pdf,Правила устройства электроустановок (ПУЭ). Глава 2.2. Токопроводы напряжением до 35 кВ (Издание шестое),"['классификация токопроводов', 'требования к конструкции', 'материалы токопроводов', 'механические нагрузки и температуры', 'защита от перенапряжений']","['токопроводы', 'напряжение до 35 кВ', 'гибкие токопроводы', 'жесткие токопроводы', 'заземление', 'механические нагрузки', 'грозовые перенапряжения']",русский,349,-,5,64.3,0.0,,Правила устройства электроустановок (ПУЭ). Глава 2.2. Токопроводы напряжением до 35 кВ.pdf,Не определено,5
Кабельные силовые линии до 220 кВ,Электроустановки,,2025-08-29T03:20:08.111879+00:00,"Данный документ содержит правила и определения, распространяющиеся на кабельные силовые линии до 220 кВ, включая технологические требования к кабельным линиям, кабельным сооружениям, а также типам кабельных линий и элементов для обеспечения их нормальной работы.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 2.3. Кабельные линии напряжением до 220 кВ.pdf,Правила устройства электроустановок. Глава 2.3. Кабельные линии напряжением до 220 кВ (Издание шестое),"['Определения кабельных линий и сооружений', 'Технические характеристики маслонаполненных кабельных линий', 'Устройство и классификация кабельных сооружений']","['кабельные линии', 'силовые линии до 220 кВ', 'маслонаполненные линии', 'кабельные сооружения', 'подпитывающие пункты']",Русский,3053,-,5,37.8,70.8,,Правила устройства электроустановок (ПУЭ). Глава 2.3. Кабельные линии напряжением до 220 кВ.pdf,Не определено,24
"Правила устройства электроустановок, применение к воздушным линиям электропередачи напряжением до 1 кВ",Передача электроэнергии,,2025-08-29T03:20:13.133706+00:00,"Документ содержит требования к устройству воздушных линий электропередачи переменного тока напряжением до 1 кВ, включая проектирование, техническое обслуживание, ремонт и защиту окружающей среды, а также требования к заземлениям и защитам от перенапряжений. Применяется для организаций и физических лиц, занимающихся проектированием, монтажом и эксплуатацией таких линий.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 2.4. Воздушные линии электропередачи напряжения.pdf,Правила устройства электроустановок. Глава 2.4. Воздушные линии электропередачи напряжением до 1 кВ (седьмое издание),"['устройство воздушных линий электропередачи', 'требования к проектированию ВЛ', 'техническое обслуживание и ремонт ВЛ', 'защита от перенапряжений', 'заземление']","['Правила устройства электроустановок', 'ПУЭ', 'воздушные линии электропередачи', 'напряжение до 1 кВ', 'проектирование', 'монтаж', 'эксплуатация', 'защита окружающей среды', 'заземление', 'перенапряжения']",русский,1792,-,5,58.6,0.0,,Правила устройства электроустановок (ПУЭ). Глава 2.4. Воздушные линии электропередачи напряжения.pdf,Действующий,17
Воздушные линии электропередачи напряжением выше 1 кВ и до 750 кВ,Передача электроэнергии,,2025-08-29T03:20:18.879587+00:00,"Документ содержит правила устройства электроустановок, в частности требования к воздушным линиям электропередачи переменного тока напряжением выше 1 кВ. Правила покрывают общие требования к проектированию, техническому обслуживанию, ремонту, защиту окружающей среды и устройству заземлений для воздушных линий. Предназначен для инженерно-технического персонала, занятого проектированием, монтажом и эксплуатацией воздушных линий.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 2.5. Воздушные линии электропередачи напряжением.pdf,Правила устройства электроустановок. Глава 2.5. Воздушные линии электропередачи напряжением выше 1 кВ (Издание седьмое) (с Изменением),"['требования к ВЛ', 'напряжение выше 1 кВ', 'проектирование и эксплуатация', 'техническое обслуживание и ремонт']","['воздушные линии электропередачи', 'электроустановки', 'проектирование ВЛ', 'техническое обслуживание', 'ремонт', 'защита окружающей среды', 'заземление']",русский,1856,-,5,44.7,8.5,,Правила устройства электроустановок (ПУЭ). Глава 2.5. Воздушные линии электропередачи напряжением.pdf,Действующий,95
Электрические сети напряжением до 1 кВ,Защита электрических сетей,,2025-08-29T03:20:23.879775+00:00,"Данная глава Правил устройства электроустановок распространяется на защиту электрических сетей напряжением до 1 кВ. В документе рассмотрены требования к аппаратам защиты, выбор аппаратов, условия их работы и подключения, а также требования к защите от токов короткого замыкания.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 3.1. Защита электрических сетей напряжением до 1 кВ.pdf,Правила устройства электроустановок. Глава 3.1. Защита электрических сетей напряжением до 1 кВ (Издание шестое),"['требования к аппаратам защиты', 'выбор защиты', 'условия подключения', 'автоматическое отключение при ненормальных режимах']","['защита электрических сетей', '1 кВ', 'аппараты защиты', 'автоматические выключатели', 'предохранители', 'токи короткого замыкания']",Русский,470,-,4,75.0,0.0,,Правила устройства электроустановок (ПУЭ). Глава 3.1. Защита электрических сетей напряжением до 1 кВ.pdf,Не определено,4
"Устройства релейной защиты элементов электрической части энергосистем, промышленных и других электроустановок выше 1 кВ",Релейная защита,,2025-08-29T03:20:28.076743+00:00,"Данная глава Правил устройства электроустановок распространяется на устройства релейной защиты элементов электрической части энергосистем и других электроустановок выше 1 кВ. В документе описываются общие требования к релейной защите, включая автоматическое отключение поврежденных элементов, реагирование на опасные режимы работы, использование предохранителей и селективность действия релейной защиты для обеспечения надежности и безопасности электроустановок.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 3.2. Релейная защита (Издание шестое).pdf,Правила устройства электроустановок (ПУЭ). Глава 3.2. Релейная защита (Издание шестое),"['релейная защита', 'автоматическое отключение поврежденного элемента', 'селективность действия защиты', 'надёжность функционирования релейной защиты']","['релейная защита', 'электроустановки', 'энергосистемы', 'защита оборудования', 'автоматическое отключение', 'селективность защиты']",Русский,3563,-,5,29.3,0.0,,Правила устройства электроустановок (ПУЭ). Глава 3.2. Релейная защита (Издание шестое).pdf,Не определено,31
"Автоматические и телемеханические устройства электростанций, энергосистем, сетей и электроснабжения промышленных и других электроустановок",Автоматика и телемеханика,,2025-08-29T03:20:33.221846+00:00,"Документ регламентирует применение автоматических и телемеханических устройств в электростанциях, энергосистемах и сетях. Описывает требования к автоматическому повторному включению (АПВ), автоматическому вводу резерва (АВР), регулированию параметров работы энергосистемы и обеспечению устойчивости. Включает рекомендации по проектированию и эксплуатации данных устройств для обеспечения надежности электроснабжения и безопасности оборудования.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 3.3. Автоматика и телемеханика (Издание шестое).pdf,Правила устройства электроустановок. Глава 3.3. Автоматика и телемеханика (Издание шестое),"['автоматизация энергосистем', 'защита и автоматика', 'восстановление электроснабжения', 'регулирование параметров работы', 'проектирование и эксплуатация устройств']","['автоматическое повторное включение', 'АПВ', 'автоматический ввод резерва', 'АВР', 'синхронные генераторы', 'регулирование напряжения', 'регулирование частоты', 'устойчивость энергосистемы', 'диспетчерский контроль', 'электроустановки']",русский,3256,-,5,35.7,0.0,,Правила устройства электроустановок (ПУЭ). Глава 3.3. Автоматика и телемеханика (Издание шестое).pdf,Не определено,20
"Вторичные цепи электростанций, подстанций и промышленных предприятий",Электроустановки,,2025-08-29T03:20:37.511691+00:00,"Данный документ регламентирует требования к вторичным цепям электроустановок, включая цепи управления, сигнализации, контроля, автоматики и релейной защиты. Описываются требования к рабочему напряжению, типам применяемых кабелей и жилам, а также условиям механической прочности жил кабелей и проводов. В документе указаны специфические случаи применения меди и алюминия в контрольных кабелях для электростанций, подстанций и промышленных предприятий.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 3.4. Вторичные цепи (Издание шестое).pdf,Правила устройства электроустановок (ПУЭ). Глава 3.4. Вторичные цепи (Издание шестое),"['требования к вторичным цепям', 'Рабочее напряжение вторичных цепей', 'использование алюминиевых и медных жил', 'сечения жил кабелей', 'условия применения кабелей']","['вторичные цепи', 'электроустановки', 'кабели с алюминиевыми жилами', 'кабели с медными жилами', 'рабочее напряжение', 'механическая прочность', 'контрольные кабели']",Русский,2030,-,5,72.7,0.0,,Правила устройства электроустановок (ПУЭ). Глава 3.4. Вторичные цепи (Издание шестое).pdf,Не определено,6
"Распределительные устройства (РУ) и низковольтные комплектные устройства (НКУ) до 1 кВ переменного тока и до 1,5 кВ постоянного тока, устанавливаемые в помещениях и на открытом воздухе, выполняемые в виде щитов распределительных, управления, релейных, пультов, шкафов, шинных выводов, сборок",Электроустановки,,2025-08-29T03:20:44.849769+00:00,"Документ устанавливает требования к распределительным устройствам и низковольтным комплектным устройствам напряжением до 1 кВ переменного тока и до 1,5 кВ постоянного тока. Включает правила выбора проводов, шин, аппаратов, маркировки, защиты и размещения оборудования с целью обеспечения безопасной и надежной эксплуатации электроустановок.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 4.1. Распределительные устройства напряжением до 1 кВ.pdf,"Правила устройства электроустановок. Глава 4.1. Распределительные устройства напряжением до 1 кВ переменного тока и до 1,5 кВ постоянного тока (Издание седьмое)","['выбор проводов и оборудования', 'безопасность эксплуатации', 'антикоррозийное покрытие', 'установка приборов и аппаратов']","['Распределительные устройства', 'низковольтные комплектные устройства', 'электроустановки', 'выбор проводов', 'маркировка', 'защита']",Русский,344,-,5,73.3,0.0,,Правила устройства электроустановок (ПУЭ). Глава 4.1. Распределительные устройства напряжением до 1 кВ.pdf,Действующий,5
Стационарные распределительные устройства и трансформаторные подстанции переменного тока напряжением выше 1 кВ,Электроустановки,,2025-08-29T03:20:50.581222+00:00,"Документ устанавливает правила и требования к устройству распределительных устройств и трансформаторных подстанций напряжением выше 1 кВ. Включает определения, область применения, рекомендации и исключения по разным аспектам устройства электроустановок.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 4.2. Распределительные устройства и подстанции.pdf,Правила устройства электроустановок. Глава 4.2. Распределительные устройства и подстанции напряжением выше 1 кВ (Издание седьмое),"['устройство распределительных устройств', 'трансформаторные подстанции', 'электроустановки высокого напряжения']","['распределительные устройства', 'трансформаторные подстанции', 'электроустановки', 'напряжение выше 1 кВ', 'коммутационные аппараты', 'защита', 'автоматика', 'телемеханика']",Русский,1374,-,5,39.6,5.0,,Правила устройства электроустановок (ПУЭ). Глава 4.2. Распределительные устройства и подстанции.pdf,Действующий,70
Преобразовательные подстанции и установки с полупроводниковыми преобразовательными агрегатами мощностью 100 кВт и более для питания промышленных потребителей,Электроустановки,,2025-08-29T03:20:57.276241+00:00,"Данный документ определяет требования и общие правила для стационарных преобразовательных подстанций и установок с полупроводниковыми преобразовательными агрегатами мощностью от 100 кВт для питания промышленных потребителей. В частности, охватываются аспекты безопасности, устройства аппаратуры, ограничения влияния на электросеть и меры аварийной сигнализации.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 4.3. Преобразовательные подстанции и установки.pdf,Правила устройства электроустановок. Глава 4.3. Преобразовательные подстанции и установки (Издание шестое),"['требования к преобразовательным подстанциям', 'классы напряжений', 'оборудование и сигнализация', 'ограничение радиопомех и качества энергии', 'технические меры обслуживания']","['преобразовательные подстанции', 'полупроводниковые преобразовательные агрегаты', 'электроустановки', 'компенсация реактивной мощности', 'радиопомехи', 'пожарная сигнализация', 'электрооборудование']",Русский,706,-,5,62.5,0.0,,Правила устройства электроустановок (ПУЭ). Глава 4.3. Преобразовательные подстанции и установки.pdf,Не определено,7
Стационарные установки кислотных аккумуляторных батарей,Электроустановки,,2025-08-29T03:21:01.244287+00:00,"Данный документ устанавливает правила и требования к стационарным установкам кислотных аккумуляторных батарей, включая условия работы, электрическую часть, выбор электрооборудования, системы зарядки и меры безопасности для предотвращения взрывоопасных ситуаций.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 4.4. Аккумуляторные установки (Издание шестое).pdf,Правила устройства электроустановок (ПУЭ). Глава 4.4. Аккумуляторные установки (Издание шестое),"['Эксплуатация аккумуляторных батарей', 'Выбор и монтаж электрооборудования', 'Требования безопасности', 'Организация зарядных процессов']","['аккумуляторные батареи', 'заряд аккумуляторов', 'взрывоопасные помещения', 'электроустановки', 'вольтметр', 'амперметр', 'выпрямительные установки', 'изоляция']",русский,252,-,5,71.4,0.0,,Правила устройства электроустановок (ПУЭ). Глава 4.4. Аккумуляторные установки (Издание шестое).pdf,Не определено,5
Устройство электромашинных помещений и установка электрооборудования,Электрооборудование,,2025-08-29T03:21:05.247522+00:00,"Данный документ устанавливает правила и требования для устройства электромашинных помещений и установки в них электрооборудования мощностью до 500 кВт, включая требования к оборудованию, организации пространства, безопасности и эксплуатации.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 5.1. Электромашинные помещения (Издание шестое).pdf,Правила устройства электроустановок (ПУЭ). Глава 5.1. Электромашинные помещения (Издание шестое),"['устройство электромашинных помещений', 'установка электрооборудования', 'требования безопасности', 'транспортировка и монтаж', 'пожарная сигнализация']","['электромашинные помещения', 'электрооборудование', 'установка', 'безопасность', 'пожарная сигнализация', 'сигнализация', 'гл.1.1', 'внутрицеховые подстанции', 'производственная категория Г', 'телефонная связь']",русский,380,-,5,60.0,0.0,,Правила устройства электроустановок (ПУЭ). Глава 5.1. Электромашинные помещения (Издание шестое).pdf,Действующий,6
"Установки генераторов тепловых и гидравлических электростанций, синхронных компенсаторов в специальных помещениях (машинных залах) и на открытом воздухе",Электроэнергетика,,2025-08-29T03:21:09.583336+00:00,"Документ регламентирует требования к установке, эксплуатации, конструктивным особенностям и оборудованию генераторов тепловых и гидравлических электростанций, а также синхронных компенсаторов. Включает общие требования к оборудованию, условия хранения и требования к монтажу и обслуживанию.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 5.2. Генераторы и синхронные компенсаторы.pdf,Глава 5.2 Генераторы и синхронные компенсаторы (Издание шестое),"['установка генераторов', 'технические требования к генераторам', 'эксплуатация генераторов', 'оборудование генераторов', 'монтаж и обслуживание']","['генераторы', 'синхронные компенсаторы', 'электростанции', 'установка', 'эксплуатация', 'оборудование', 'монтаж', 'технические требования']",русский,589,-,5,52.9,0.0,,Правила устройства электроустановок (ПУЭ). Глава 5.2. Генераторы и синхронные компенсаторы.pdf,Не определено,8
Электродвигатели и их коммутационные аппараты в стационарных установках производственных и других помещений различного назначения,Электротехника,,2025-08-29T03:21:14.408611+00:00,"Данный документ представляет главу 5.3 Правил устройства электроустановок (ПУЭ), которая распространяется на электродвигатели и их коммутационные аппараты в стационарных установках различных помещений. В документе изложены требования к выбору, установке, охлаждению, техническому обслуживанию, заземлению, а также условиям эксплуатации электродвигателей и коммутационной аппаратуры с целью обеспечения надежности и безопасности электроснабжения.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 5.3. Электродвигатели и их коммутационные аппараты.pdf,Правила устройства электроустановок (ПУЭ). Глава 5.3. Электродвигатели и их коммутационные аппараты (Издание шестое),"['выбор электродвигателей', 'установка и монтаж', 'охлаждение', 'заземление и зануление', 'надежность питания', 'техническое обслуживание']","['электродвигатели', 'коммутационные аппараты', 'установка', 'охлаждение', 'заземление', 'надежность электроснабжения', 'ремонт', 'охрана труда']",русский,1155,-,5,57.1,0.0,,Правила устройства электроустановок (ПУЭ). Глава 5.3. Электродвигатели и их коммутационные аппараты.pdf,Действующий,10
"Электрооборудование мостовых, портальных, башенных, кабельных и других кранов напряжением до 10 кВ",Электрооборудование,,2025-08-29T03:21:19.014392+00:00,"Данная глава Правил предоставляет требования и определения для электрооборудования кранов различных типов, включая мостовые, портальные, башенные, кабельные краны и однорельсовые тележки с напряжением до 10 кВ. Описаны условия эксплуатации, меры безопасности и конструктивные особенности электрооборудования на кранах.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 5.4. Электрооборудование кранов (Издание шестое).pdf,Правила устройства электроустановок (ПУЭ). Глава 5.4. Электрооборудование кранов (Издание шестое),"['электрооборудование', 'краны', 'техника безопасности', 'электроснабжение']","['электрооборудование кранов', 'напряжение до 10 кВ', 'троллеи', 'малогабаритный троллейный токопровод', 'ремонтные загоны', 'электроснабжение кранов', 'безопасность эксплуатации']",Русский,1203,-,5,58.8,0.0,,Правила устройства электроустановок (ПУЭ). Глава 5.4. Электрооборудование кранов (Издание шестое).pdf,Не определено,8
"Электрооборудование лифтов и групповых лифтовых установок напряжением до 600 В, грузоподъемностью 50 кг и более, устанавливаемых в жилых, общественных зданиях, промышленных предприятиях и других сооружениях",Электрооборудование лифтов,,2025-08-29T03:21:27.163223+00:00,"Настоящая глава Правил распространяется на электрооборудование лифтов и групповых лифтовых установок напряжением до 600 В, грузоподъемностью 50 кг и более. Устанавливается обязательное соответствие электробезопасности и требованиям электропроводки, напряжения и помех радиоприему. Не распространяется на лифты во взрывоопасных помещениях, шахтах, на судах и летательных аппаратах.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 5.5. Электрооборудование лифтов (Издание шестое).pdf,Правила устройства электроустановок. Глава 5.5. Электрооборудование лифтов,"['требования к оборудованию', 'электропроводка лифтов', 'напряжение силовых цепей', 'защита от помех', 'расстояния обслуживания']","['электрооборудование лифтов', 'напряжение', 'электропроводка', 'лифты', 'грузоподъемность', 'безопасность лифтов']",русский,491,-,4,69.2,0.0,,Правила устройства электроустановок (ПУЭ). Глава 5.5. Электрооборудование лифтов (Издание шестое).pdf,Действующий,4
Конденсаторные установки до 500 кВ для компенсации реактивной мощности и регулирования напряжения,Электроустановки,,2025-08-29T03:21:31.103476+00:00,"Данный документ содержит правила устройства конденсаторных установок напряжением до 500 кВ, включая определения, схемы электрических соединений, выбор оборудования и требования к защите и эксплуатации таких установок.",ПУЭ,Правила устройства электроустановок (ПУЭ). Глава 5.6. Конденсаторные установки (Издание шестое).pdf,Правила устройства электроустановок. Глава 5.6. Конденсаторные установки (Издание шестое),"['область применения', 'определения терминов', 'схемы электрических соединений', 'требования к защите', 'эксплуатация конденсаторных установок']","['конденсаторные установки', 'компенсация реактивной мощности', 'регулирование напряжения', 'конденсаторные батареи', 'защита конденсаторов', 'электроустановки']",Русский,406,-,4,71.4,0.0,,Правила устройства электроустановок (ПУЭ). Глава 5.6. Конденсаторные установки (Издание шестое).pdf,Не определено,4
